Delgado        AL0000000120041113B21750209
Gibbs          AL9378959420120128B20739041
Smith          IA2893441320010322B30000001
Arnold         IA3292844820040311B19173087
Parsons        MO9999999920130730B38833133
Marshall       MO7531110420080503B29999999
Moody          MO3989145020141128B26920881
Morales        AL8191663920140304C30803124
Hopkins        AL7070414620110512C19766970
Hill           FL5721204820010719C38912793
BarnesFisher   FL6112307020100809C24884266
Hubbard        MO9016659320151029C13776684
Hopkins        MO8313286220181018C10428726
Gallagher      MO1638961220050327C32449212
Griffith       CT6869803620161027J38401965
Cook           CT6049440720111023J37677393
Mitchell       NJ7094767620020911J11451668
Alvarado       IA2376161920140327P31889671
Stephens       IA1649453320090615P26529616
Lindsey        MI7444829020090817P27249226
Brady          OH1165945720120319P10033480
Massey         OH2430676020060707P27231234
Duncan         IA2484059620071019R33891966
Delgado        IA6765702520010222R16582299
Woods          OH2971716320130604R34730806
Hayes          OH9229518320121229R26382520
Wilkinson      FL1481594820160219S12882810
Acosta         FL9711485220180715S30166171
Armstrong      MO0732231320101115S21383039
Mccoy          MO2403242420040911S30900148
